detail_id,transaction_id,item_id,quantity,price,payment_date,customer_id,customer_name,registration_date,email,gender,age,birth,pref,item_name,item_price,calculated_price,payment_month
62,T0000003986,S001,1,50000,2024-03-09 20:33:15,Nq######,伊藤 亮介,2023-01-29 06:19:12,takuma77@ogawa.jp,F,42,1966/09/20,東京都,PC-A,50000,50000,202403
63,T0000004576,S005,1,210000,2025-01-01 20:39:45,mY######,田中 充,2023-08-31 12:06:20,tanakaatsushi@okada.jp,F,52,1970/01/25,埼玉県,PC-E,210000,210000,202501
64,T0000002977,S001,4,200000,2024-05-12 08:59:21,JI######,伊藤 学,2022-11-03 09:30:50,chiyofujiwara@watanabe.com,M,62,1992/05/16,広島県,PC-A,50000,200000,202405
65,T0000001871,S001,2,100000,2024-04-23 10:39:55,Ik######,佐藤 健一,2023-09-26 16:23:01,takumaito@nakamura.jp,M,60,1965/09/24,愛知県,PC-A,50000,100000,202404
66,T0000001462,S004,4,720000,2024-05-15 05:55:21,EI######,佐藤 英樹,2024-12-20 00:22:10,satotaro@gmail.com,F,57,1967/08/04,神奈川県,PC-D,180000,720000,202405
67,T0000005521,S005,3,630000,2024-12-23 05:27:25,qQ######,佐藤 明美,2022-11-04 21:50:28,lgoto@ito.jp,F,64,1988/03/15,三重県,PC-E,210000,630000,202412
68,T0000000344,S003,3,360000,2024-08-23 12:33:28,nb######,山田 翔太,2023-09-07 16:25:24,gwatanabe@hotmail.com,M,27,1974/06/27,高知県,PC-C,120000,360000,202408
69,T0000000044,S004,4,720000,2024-05-06 00:43:00,Mf######,伊藤 健一,2024-11-02 03:20:38,mikinishimura@gmail.com,F,68,1965/10/15,大阪府,PC-D,180000,720000,202405
70,T0000002068,S001,1,50000,2024-10-06 06:06:00,Nh######,森 知実,2023-06-02 23:29:43,nakajimachiyo@kato.jp,M,29,1970/12/17,埼玉県,PC-A,50000,50000,202410
71,T0000005753,S003,1,120000,2025-03-03 15:35:40,VZ######,佐藤 翼,2025-01-12 06:16:47,ikedakazuya@hotmail.com,M,47,1987/09/27,兵庫県,PC-C,120000,120000,202503
72,T0000005983,S002,2,170000,2025-01-03 02:23:57,cg######,斎藤 舞,2023-08-15 15:34:16,yuta63@yamamoto.jp,F,40,1980/09/18,神奈川県,PC-B,85000,170000,202501
73,T0000006191,S002,4,340000,2024-08-13 13:11:53,HB######,鈴木 篤司,2024-04-27 10:51:09,watanaberyosuke@saito.com,M,58,1973/07/05,山口県,PC-B,85000,340000,202408
74,T0000001514,S004,4,720000,2024-06-20 10:23:45,zt######,山下 康弘,2024-09-08 04:31:54,manabu92@yamamoto.org,M,71,1974/05/12,長崎県,PC-D,180000,720000,202406
75,T0000002598,S003,1,120000,2025-02-22 10:49:28,oP######,鈴木 洋介,2023-05-29 10:08:15,naoto49@suzuki.com,M,72,1944/07/17,愛媛県,PC-C,120000,120000,202502
76,T0000006430,S005,3,630000,2024-09-16 09:49:43,zX######,福田 拓真,2023-02-10 22:45:47,ehashimoto@gmail.com,M,57,1959/05/20,長野県,PC-E,210000,630000,202409
77,T0000001001,S003,3,360000,2024-08-01 03:33:50,lr######,佐々木 花子,2023-03-29 23:19:46,minoruyamazaki@yamaguchi.jp,M,45,1965/11/14,岐阜県,PC-C,120000,360000,202408
78,T0000001033,S004,2,360000,2024-09-11 22:56:02,CK######,田中 京助,2025-02-01 19:01:11,qmurakami@suzuki.jp,F,66,1953/12/14,鳥取県,PC-D,180000,360000,202409
79,T0000006685,S005,2,420000,2024-06-04 05:29:41,PD######,藤井 零,2024-05-28 16:04:26,ikedayui@sato.org,M,78,1986/10/25,岩手県,PC-E,210000,420000,202406
80,T0000002040,S005,3,630000,2025-02-11 11:12:25,Rd######,藤井 晃,2024-02-20 11:31:18,mikako90@yahoo.com,F,66,2006/04/17,沖縄県,PC-E,210000,630000,202502
81,T0000000273,S002,4,340000,2024-06-25 22:47:21,ok######,石川 洋介,2024-09-23 19:58:44,kaoriyoshida@gmail.com,M,30,1945/02/13,佐賀県,PC-B,85000,340000,202406
82,T0000005051,S003,2,240000,2024-12-26 18:14:39,hd######,小林 淳,2022-05-11 18:32:02,oikeda@hotmail.com,F,43,1982/01/15,宮崎県,PC-C,120000,240000,202412
83,T0000002647,S005,1,210000,2024-11-17 22:46:13,gg######,田中 あすか,2023-10-22 04:05:54,yamadaryohei@yahoo.com,F,33,2001/11/16,岩手県,PC-E,210000,210000,202411
84,T0000001779,S004,4,720000,2024-09-15 17:57:30,Ac######,斉藤 裕太,2022-08-17 09:42:56,miki85@matsumoto.com,M,67,1952/04/29,岩手県,PC-D,180000,720000,202409
85,T0000004476,S002,1,85000,2025-03-02 02:11:49,NG######,高橋 裕樹,2023-08-15 23:24:30,qhashimoto@yamaguchi.com,M,26,1949/03/04,沖縄県,PC-B,85000,85000,202503
86,T0000005448,S005,2,420000,2024-09-07 23:20:17,tb######,伊藤 あすか,2024-06-03 18:27:37,yasuhiroishii@yahoo.com,F,18,1996/11/16,宮城県,PC-E,210000,420000,202409
87,T0000000478,S003,3,360000,2024-09-28 12:11:09,UW######,加藤 直子,2023-03-28 09:31:23,yasuhiro78@shimizu.com,M,22,1990/11/26,群馬県,PC-C,120000,360000,202409
88,T0000006158,S002,2,170000,2024-12-07 04:30:01,vk######,後藤 拓真,2024-09-29 01:05:16,haruka84@murakami.com,F,57,1979/02/11,高知県,PC-B,85000,170000,202412
89,T0000000515,S003,3,360000,2025-02-17 13:25:22,yj######,田中 千代,2024-09-22 20:21:12,yokohasegawa@gmail.com,F,38,1994/12/21,石川県,PC-C,120000,360000,202502
90,T0000004286,S003,4,480000,2025-03-06 10:31:59,wq######,清水 篤司,2023-11-09 05:51:57,watanaberika@gmail.com,F,43,1984/03/30,滋賀県,PC-C,120000,480000,202503
91,T0000001191,S003,2,240000,2024-09-14 23:21:49,Cj######,岡田 加奈,2024-07-13 11:53:08,maaya86@gmail.com,M,45,1982/07/26,栃木県,PC-C,120000,240000,202409
92,T0000002668,S002,2,170000,2024-08-02 07:49:53,vi######,高橋 花子,2023-03-22 23:30:33,tanakaryohei@hotmail.com,F,68,2000/07/02,鳥取県,PC-B,85000,170000,202408
93,T0000005256,S005,2,420000,2024-07-23 05:04:00,Hz######,佐々木 学,2024-10-26 22:40:49,yamashitaosamu@yahoo.com,M,66,1959/08/01,富山県,PC-E,210000,420000,202407
94,T0000006297,S001,4,200000,2024-05-17 16:22:28,Ov######,林 花子,2023-01-24 15:48:16,wsato@ikeda.com,F,23,1992/12/10,山形県,PC-A,50000,200000,202405
95,T0000001411,S005,1,210000,2024-08-25 03:08:04,Fr######,伊藤 美加子,2023-05-23 06:59:49,maedasatomi@yahoo.com,M,62,1975/08/26,栃木県,PC-E,210000,210000,202408
96,T0000003280,S002,1,85000,2025-02-17 01:35:40,lF######,高橋 裕美子,2023-04-19 05:48:32,nakamuramiki@yahoo.com,M,33,1978/02/25,北海道,PC-B,85000,85000,202502
97,T0000000271,S001,3,150000,2024-12-15 13:09:15,zE######,坂本 陽一,2022-10-10 11:54:12,tanakayui@fujiwara.jp,F,67,1991/07/26,沖縄県,PC-A,50000,150000,202412
98,T0000000142,S001,2,100000,2024-07-08 13:52:29,yj######,田中 千代,2024-09-22 20:21:12,yokohasegawa@gmail.com,F,38,1994/12/21,石川県,PC-A,50000,100000,202407
99,T0000006008,S001,1,50000,2024-11-11 19:13:58,iQ######,伊藤 真綾,2022-12-31 23:27:06,yishii@takahashi.com,M,31,1967/02/13,栃木県,PC-A,50000,50000,202411
100,T0000005188,S004,4,720000,2024-04-29 20:49:14,mE######,青木 里佳,2025-01-17 14:42:05,ahasegawa@gmail.com,M,36,1950/09/18,大阪府,PC-D,180000,720000,202404
101,T0000006390,S002,2,170000,2024-10-21 13:22:30,cB######,石川 篤司,2024-07-03 12:56:03,maayashimizu@matsumoto.jp,M,52,1981/11/28,愛媛県,PC-B,85000,170000,202410
102,T0000003332,S004,3,540000,2024-03-11 19:42:07,qL######,鈴木 晃,2025-01-19 21:04:06,nsuzuki@hayashi.net,M,23,1998/05/10,滋賀県,PC-D,180000,540000,202403
103,T0000000787,S001,1,50000,2024-06-04 01:58:43,gX######,藤原 花子,2022-11-09 09:41:34,okadamai@nakagawa.jp,M,43,1979/04/04,三重県,PC-A,50000,50000,202406
104,T0000006222,S004,4,720000,2024-09-13 05:45:32,tF######,木村 千代,2022-05-14 06:21:43,pnakajima@yahoo.com,M,69,1944/04/18,島根県,PC-D,180000,720000,202409
105,T0000001681,S004,4,720000,2024-05-30 23:56:52,MK######,山口 和也,2023-06-08 09:35:44,yoichigoto@takahashi.jp,F,64,1955/09/01,茨城県,PC-D,180000,720000,202405
106,T0000000622,S002,3,255000,2024-12-30 17:20:48,bU######,鈴木 健一,2025-01-06 23:00:00,fujiihideki@yahoo.com,F,56,2000/02/28,千葉県,PC-B,85000,255000,202412
107,T0000003841,S003,1,120000,2025-01-11 10:57:44,Rx######,伊藤 直樹,2022-09-21 00:26:31,mikakosuzuki@yahoo.com,F,54,1946/09/15,千葉県,PC-C,120000,120000,202501
108,T0000003676,S004,2,360000,2024-07-13 23:54:09,iX######,松本 淳,2023-01-15 14:49:12,rikaito@yahoo.com,F,26,1986/09/10,香川県,PC-D,180000,360000,202407
109,T0000002572,S004,4,720000,2024-09-17 23:32:57,In######,鈴木 里佳,2023-07-21 07:02:35,mmatsumoto@hotmail.com,F,51,2001/03/29,岡山県,PC-D,180000,720000,202409
110,T0000005033,S001,3,150000,2024-05-15 02:06:59,yU######,山口 香織,2024-01-11 21:54:39,yui62@yamaguchi.com,M,29,1967/09/11,山形県,PC-A,50000,150000,202405
111,T0000003260,S001,4,200000,2024-06-15 06:33:00,aJ######,佐々木 直子,2023-01-05 03:13:51,ryamamoto@nishimura.com,F,63,1946/11/30,千葉県,PC-A,50000,200000,202406
112,T0000005214,S001,4,200000,2025-01-27 02:53:31,Bd######,阿部 洋介,2022-07-15 21:18:34,junaoki@sato.com,F,35,1969/07/21,奈良県,PC-A,50000,200000,202501
113,T0000004712,S005,1,210000,2024-08-09 14:42:26,SH######,鈴木 裕太,2023-11-06 07:33:48,saitohiroshi@maeda.jp,M,48,1974/07/24,滋賀県,PC-E,210000,210000,202408
114,T0000005127,S004,1,180000,2024-04-12 03:43:41,Ez######,小林 千代,2023-02-01 16:48:10,kfujii@yoshida.jp,M,18,1974/01/26,沖縄県,PC-D,180000,180000,202404
115,T0000000066,S001,2,100000,2024-10-01 03:46:39,Hm######,佐藤 美加子,2024-04-23 22:45:33,akemikondo@kondo.jp,M,52,1967/07/01,茨城県,PC-A,50000,100000,202410
116,T0000004286,S002,4,340000,2025-03-06 10:31:59,wq######,清水 篤司,2023-11-09 05:51:57,watanaberika@gmail.com,F,43,1984/03/30,滋賀県,PC-B,85000,340000,202503
117,T0000004616,S005,3,630000,2024-09-15 16:46:27,gp######,小林 智也,2025-02-04 12:33:19,vnishimura@gmail.com,F,30,1977/10/26,大分県,PC-E,210000,630000,202409
118,T0000005085,S003,4,480000,2025-01-31 07:15:51,ij######,西村 春香,2024-11-01 21:18:25,mikisato@mori.jp,F,34,1987/05/03,神奈川県,PC-C,120000,480000,202501
119,T0000001140,S004,3,540000,2025-01-31 12:40:48,Wm######,橋本 里佳,2025-01-25 09:34:52,osamu65@yahoo.com,M,70,1969/11/22,栃木県,PC-D,180000,540000,202501
120,T0000002314,S004,4,720000,2024-10-31 05:36:49,Zx######,中村 治,2023-02-25 03:01:05,yoichi17@suzuki.org,F,32,1990/12/19,青森県,PC-D,180000,720000,202410
121,T0000005730,S002,3,255000,2024-12-09 18:34:12,qH######,吉田 くみ子,2022-06-25 21:51:24,yuta89@gmail.com,M,49,1944/10/31,宮崎県,PC-B,85000,255000,202412
122,T0000002532,S003,4,480000,2024-06-04 20:42:02,Ff######,後藤 稔,2023-01-24 18:28:01,rnakamura@gmail.com,M,74,2006/01/18,福岡県,PC-C,120000,480000,202406
123,T0000003580,S003,4,480000,2025-01-28 06:29:19,We######,中島 美加子,2024-04-26 23:12:51,tmaeda@hotmail.com,M,41,1963/07/22,山口県,PC-C,120000,480000,202501
124,T0000001187,S005,2,420000,2025-01-16 20:44:34,bF######,加藤 直樹,2023-04-25 11:16:40,tsubasahasegawa@hotmail.com,F,76,1967/07/19,大阪府,PC-E,210000,420000,202501
125,T0000004471,S004,1,180000,2025-01-23 00:14:16,je######,橋本 稔,2024-02-04 15:33:46,ogawasayuri@gmail.com,M,57,1965/09/23,広島県,PC-D,180000,180000,202501
126,T0000004748,S001,1,50000,2025-01-31 00:30:27,mr######,田中 淳,2023-06-24 00:25:20,osamumatsuda@murakami.com,M,58,1963/05/31,鳥取県,PC-A,50000,50000,202501
127,T0000003339,S002,3,255000,2024-09-06 03:01:45,YZ######,鈴木 春香,2022-06-09 19:15:05,yumikosato@gmail.com,M,50,1992/10/05,香川県,PC-B,85000,255000,202409
128,T0000000548,S002,4,340000,2024-05-18 12:24:24,eK######,清水 加奈,2022-05-09 07:14:53,dwatanabe@suzuki.com,M,70,2006/05/01,京都府,PC-B,85000,340000,202405
129,T0000005193,S002,4,340000,2024-12-16 11:30:53,aQ######,橋本 聡太郎,2024-08-26 01:49:37,yamaguchiryosuke@nakamura.jp,F,75,2002/06/23,奈良県,PC-B,85000,340000,202412
130,T0000004087,S002,1,85000,2024-12-30 22:04:59,ZG######,鈴木 智也,2023-04-14 11:51:28,xhayashi@sato.jp,F,72,1996/04/05,栃木県,PC-B,85000,85000,202412
131,T0000000072,S001,3,150000,2024-12-23 15:00:08,VX######,鈴木 七夏,2024-08-13 22:54:08,knishimura@gmail.com,M,48,1957/01/10,神奈川県,PC-A,50000,150000,202412
132,T0000006451,S001,2,100000,2024-12-12 18:15:36,eP######,中川 結衣,2023-01-24 14:47:34,smori@kobayashi.jp,M,31,1985/06/20,山形県,PC-A,50000,100000,202412
133,T0000000198,S005,2,420000,2024-12-02 12:59:55,zc######,村上 涼平,2024-09-10 11:40:14,shoheisato@gmail.com,F,44,1967/06/07,福岡県,PC-E,210000,420000,202412
134,T0000003201,S004,2,360000,2024-05-09 18:02:34,Qc######,遠藤 陽一,2023-09-24 22:37:36,nanamitakahashi@hotmail.com,F,33,1944/05/26,石川県,PC-D,180000,360000,202405
135,T0000001781,S001,4,200000,2025-01-19 23:50:36,dX######,中村 裕美子,2024-02-28 00:51:47,hashimotohideki@saito.com,F,68,2002/03/28,京都府,PC-A,50000,200000,202501
136,T0000000571,S005,3,630000,2024-08-25 13:02:42,ok######,石川 洋介,2024-09-23 19:58:44,kaoriyoshida@gmail.com,M,30,1945/02/13,佐賀県,PC-E,210000,630000,202408
137,T0000000790,S003,1,120000,2025-02-02 02:53:01,Wh######,中島 さゆり,2022-11-09 02:22:10,sasakisotaro@gmail.com,M,43,1961/12/03,茨城県,PC-C,120000,120000,202502
138,T0000001638,S004,4,720000,2024-06-06 05:59:56,mi######,田中 陽一,2022-11-06 23:38:17,minoru09@gmail.com,F,66,1975/11/06,三重県,PC-D,180000,720000,202406
139,T0000001831,S001,4,200000,2024-09-25 19:44:49,aY######,山田 香織,2023-02-28 10:20:39,sayuriishikawa@ishii.jp,F,68,1983/12/29,群馬県,PC-A,50000,200000,202409
140,T0000001855,S003,2,240000,2024-07-17 04:44:58,Ud######,中村 太郎,2023-11-05 08:47:55,hiroshiogawa@maeda.org,M,77,1977/10/08,大阪府,PC-C,120000,240000,202407
141,T0000005606,S005,3,630000,2024-10-16 02:39:46,bb######,木村 陽子,2024-01-02 19:46:45,kana82@ishii.net,F,48,1985/01/19,福島県,PC-E,210000,630000,202410
